medal_date,medal_type,medal_code,name,gender,country,country_code,nationality,team,team_gender,discipline,event,event_type,url_event,birth_date,code
2024-07-27,Gold Medal,1,EVENEPOEL Remco,Male,Belgium,BEL,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,2000-01-25,1903136
2024-07-27,Silver Medal,2,GANNA Filippo,Male,Italy,ITA,Italy,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1996-07-25,1923520
2024-07-27,Bronze Medal,3,van AERT Wout,Male,Belgium,BEL,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1994-09-15,1903147
2024-07-27,Gold Medal,1,BROWN Grace,Female,Australia,AUS,Australia,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1992-07-07,1940173
2024-07-27,Silver Medal,2,HENDERSON Anna,Female,Great Britain,GBR,Great Britain,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1998-11-14,1912525
2024-07-27,Bronze Medal,3,DYGERT Chloe,Female,United States,USA,United States,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1997-01-01,1955079
2024-07-27,Gold Medal,1,OH Sanguk,Male,Korea,KOR,Korea,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1996-09-30,1927149
2024-07-27,Silver Medal,2,FERJANI Fares,Male,Tunisia,TUN,Tunisia,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1997-07-22,1937783
2024-07-27,Bronze Medal,3,SAMELE Luigi,Male,Italy,ITA,Italy,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,1987-07-25,1924595
2024-07-27,Gold Medal,1,KONG Man Wai Vivian,Female,"Hong Kong, China",HKG,"Hong Kong, China",,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1994-02-08,1963262
2024-07-27,Silver Medal,2,MALLO-BRETON Auriane,Female,France,FRA,France,,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1993-10-11,1916183
2024-07-27,Bronze Medal,3,MUHARI Eszter,Female,Hungary,HUN,Hungary,,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--,2002-09-30,1946375
2024-07-27,Gold Medal,1,SMETOV Yeldos,Male,Kazakhstan,KAZ,Kazakhstan,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1992-09-09,1935408
2024-07-27,Silver Medal,2,MKHEIDZE Luka,Male,France,FRA,France,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1996-01-05,1891304
2024-07-27,Bronze Medal,3,NAGAYAMA Ryuju,Male,Japan,JPN,Japan,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000100--,1996-04-15,1896752
2024-07-27,Bronze Medal,3,GARRIGOS Francisco,Male,Spain,ESP,Spain,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000200--,1994-12-09,1563544
2024-07-27,Gold Medal,1,TSUNODA Natsumi,Female,Japan,JPN,Japan,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1992-08-06,1896735
2024-07-27,Silver Medal,2,BAVUUDORJ Baasankhuu,Female,Mongolia,MGL,Mongolia,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1999-11-26,1914467
